"Annotations";"Received in Downtime";"Severity";"Time Created (Europe/Madrid)";"Assigned User";"Type";"Duplicate Count";"Node";"Category";"Responsable";"Instrucción";"Application";"Object";"Title";"Related CI"
"TRUE";"FALSE";"Minor";"2021-05-27T13:22:01.000+0200";"agarcsim";"AUTO";"1";"pvvgl0305.ccv.mercadona.com";"Explotacion_Batch";"Aplicacion";"EX-G1004:https://confluence.mercadona.com/x/MYF4Bw";"ControlJobs_CPD";"srv0601_CERFW/APROBACION_MASIVA_ALBARANES/cerfw_aprobacionMasivaAlbaranes";"Esta retrasandose";"JOB (pvvgl0305.ccv.mercadona.com)"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:02.000+0200";"";"AUTO";"0";"pvvgl0284.ccv.mercadona.com";"OMi_ADM";"";"";"Pulso_OMi";"Check_telnet";"Ha llegado el telnet a la base de datos de TOMUT";"pvvgl0284.ccv.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:02.000+0200";"";"AUTO";"0";"pvvgl0283.ccv.mercadona.com";"OMi_ADM";"";"";"Pulso_OMi";"Check_telnet";"Ha llegado el telnet a la base de datos de TOMUT";"pvvgl0283.ccv.mercadona.com"
"TRUE";"FALSE";"Minor";"2021-05-27T13:22:01.000+0200";"agarcsim";"AUTO";"1";"pvvgl0305.ccv.mercadona.com";"Explotacion_Batch";"Aplicacion";"EX-G1004:https://confluence.mercadona.com/x/MYF4Bw";"ControlJobs_CPD";"GESTION_COPIAS_pvvgw0001/merca16p/DATA_NET_pasivo_1";"Esta retrasandose";"JOB (pvvgl0305.ccv.mercadona.com)"
"FALSE";"FALSE";"Minor";"2021-05-27T13:36:54.000+0200";"";"MANUAL";"0";"thl5.c2941n.tnd.mercadona.es";"OS_Linux_ADM";"";"";"Sistema_Tiendas";"/var/log/messages";"Segfault";"thl5.c2941n.tnd.mercadona.es"
"FALSE";"FALSE";"Normal";"2021-05-26T08:55:56.000+0200";"";"";"172";"sw960f.oli.rib.mercadona.es";"Red_ADM";"";"";"SNMPTraps";"-232";"The sensor value crossed the threshold 
        listed in entSensorThresholdTable.

        This notification is generated once each time
        the sensor value crosses the threshold.
        
        The agent implementation guarantees prompt, timely
        evaluation of threshold and generation of this
        notification.
         - 
[1] .1.3.6.1.4.1.9.9.91.1.2.1.1.4.1031.4 (Integer): -230 
[2] .1.3.6.1.4.1.9.9.91.1.1.1.1.4.1031 (Integer): -232 ";"sw960f.oli.rib.mercadona.es"
"TRUE";"FALSE";"Major";"2021-05-26T22:33:24.000+0200";"Francisco José Pulido Ruiz";"AUTO";"180";"iv1dl0025.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0025.itg.mercadona.com"
"FALSE";"FALSE";"Major";"2021-05-19T00:16:50.000+0200";"";"AUTO";"2464";"labdb02.labalm.mercadona.es";"Almacenamiento";"";"";"System";"FileSystemSpace:/opt/oradb/logs/mga5000d";"Uso de /opt/oradb/logs/mga5000d al 86.290000 (Umbral: 80)";"labdb02.labalm.mercadona.es"
"FALSE";"FALSE";"Major";"2021-05-27T13:35:19.000+0200";"";"MANUAL";"0";"tvvgw0004.preproduccion.net";"Windows";"";"";"Windows";"tvvgw0004.preproduccion.net";"SCOM - AGENTS - Agentes en Gris - Mercadona -";"tvvgw0004.preproduccion.net"
"FALSE";"FALSE";"Major";"2021-05-26T13:21:28.000+0200";"";"AUTO";"291";"sn8719.tnd.mercadona.es";"Almacenamiento";"";"";"Sistema_Tienda";"/opt/apli/pkt00/tienda/data";"Uso de /opt/apli/pkt00/tienda/data al 78%. (Umbral: 75%)";"sn8719.tnd.mercadona.es"
